date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees
2015-11-24,372556.845282,7107.0,70931100.0,0.946442,524195.0,26848.125,12.9664910272,
2015-11-25,168352.5214,7074.0,67010200.0,0.893827,622991.0,26471.875,12.4596309917,
2015-11-26,837964.089986,7262.0,64740900.0,0.863273,947473.0,26538.4375,9.30701047999,
2015-11-27,598994.444088,6628.0,66174600.0,0.8821,403813.0,27886.875,9.39919261942,
2015-11-28,104774.60478,6801.0,65147000.0,0.868102,462464.0,27201.09375,14.5671305715,
2015-11-29,173995.405199,6830.0,68625100.0,0.914144,448358.0,27350.9375,9.09079211711,
2015-11-30,207334.547472,8966.0,66080400.0,0.879951,784439.0,27360.0,20.8157515377,
2015-12-01,195994.783055,6753.0,65980000.0,0.878316,652857.0,27542.8125,13.0743889446,
2015-12-02,257351.021634,6471.0,65615700.0,0.873171,506307.0,26007.03125,11.4381225322,
2015-12-03,181143.284124,6938.0,61530500.0,0.818546,539969.0,28063.28125,10.666077605,
2015-12-04,136370.595032,6823.0,61065700.0,0.812082,241278.0,26679.375,12.3723423175,
2015-12-05,121090.523798,6724.0,63276000.0,0.841195,232743.0,26581.875,13.0848245148,
2015-12-06,207369.521524,8945.0,65194900.0,0.866417,443608.0,26255.78125,17.1474042232,
2015-12-07,377754.626809,7090.0,62950900.0,0.836322,520409.0,26718.90625,9.64277225226,
2015-12-08,142951.305788,6657.0,60690400.0,0.806024,445903.0,26312.5,9.14620089429,
2015-12-09,202087.34281,6963.0,62098400.0,0.824454,624221.0,28324.0625,10.1369894327,
2015-12-10,172508.92671,7388.0,59945000.0,0.79559,369589.0,27477.34375,11.3409350434,
2015-12-11,268100.856811,8051.0,63312400.0,0.839995,801072.0,27022.8125,16.8524437878,
2015-12-12,452377.831884,8170.0,70210000.0,0.931196,1376280.0,27206.5625,23.1231431759,
2015-12-13,314251.884047,7334.0,73276400.0,0.971538,273614.0,27907.34375,18.7321097127,
2015-12-14,295321.077368,15478.0,72176400.0,0.95662,563436.0,26708.59375,74.6524395615,
2015-12-15,530148.996251,21062.0,74764100.0,0.990589,578618.0,27014.53125,114.407858337,
2015-12-16,1487848.80532,10272.0,76791600.0,1.02,320767.0,26457.34375,44.2167818748,
2015-12-17,436395.472627,9507.0,74999300.0,0.993043,640765.0,26883.125,32.4010752132,
2015-12-18,222673.010769,8920.0,70890600.0,0.938327,300787.0,26671.5625,32.1814214547,
2015-12-19,209991.868058,9304.0,69644200.0,0.921524,343535.0,26694.53125,28.5162309257,
2015-12-20,186639.598656,9852.0,68663100.0,0.90824,472164.0,26436.09375,34.4271700216,
2015-12-21,212202.911658,12003.0,68521200.0,0.906065,549113.0,26457.8125,39.1191939984,
2015-12-22,212682.964372,21004.0,67704600.0,0.894973,454249.0,27374.375,59.162525717,
2015-12-23,123611.752227,22711.0,65215800.0,0.861782,334993.0,27399.375,81.4259907463,
2015-12-24,107067.471856,13480.0,65060000.0,0.859433,354646.0,26686.5625,45.7546378631,
2015-12-25,59140.3897664,9505.0,65275400.0,0.861993,187114.0,26803.59375,26.5940592965,
2015-12-26,126471.211799,10694.0,65961900.0,0.870766,425282.0,26560.15625,31.2961851884,
2015-12-27,67737.4421267,21856.0,64650000.0,0.853166,164565.0,26853.75,86.6343450292,
2015-12-28,378461.036682,12325.0,64913200.0,0.856356,235134.0,27057.96875,36.4004906885,
2015-12-29,241549.405965,11292.0,63985600.0,0.843835,215742.0,26661.09375,33.1892110499,
2015-12-30,188128.833796,21716.0,66314200.0,0.874258,604078.0,26736.25,76.1322840017,
2015-12-31,355305.072598,10257.0,69207400.0,0.912098,663994.0,26908.28125,25.0673246473,
2016-01-01,321708.374938,8206.0,70870900.0,0.933712,206062.0,26070.3125,15.6508949367,
2016-01-02,245604.197335,9140.0,71933100.0,0.947401,255504.0,27383.90625,19.3597908119,
2016-01-03,347988.606498,9248.0,71275900.0,0.93843,407632.0,27675.78125,19.4483166825,
2016-01-04,149811.548117,9425.0,73853900.0,0.972045,346245.0,27420.625,21.3104318963,
2016-01-05,987732.115139,16380.0,72442400.0,0.953147,219833.0,27839.21875,60.3564445043,
2016-01-06,248781.82236,17007.0,72229700.0,0.950028,308791.0,27625.46875,66.5339184502,
2016-01-07,334745.241839,22025.0,72692900.0,0.955801,647462.0,27022.1875,65.5065476024,
2016-01-08,185057.494975,10891.0,71724000.0,0.942752,545600.0,27996.71875,26.0495075445,
2016-01-09,207720.12846,11692.0,75001800.0,0.985501,226281.0,27595.78125,39.3005175209,
2016-01-10,138866.851353,10255.0,75031200.0,0.985557,390888.0,27287.96875,26.3260527733,
2016-01-11,504162.045601,10846.0,76096500.0,0.999216,1011920.0,27005.15625,25.5135651128,
2016-01-12,1059789.47596,10824.0,81217300.0,1.07,2898760.0,25900.78125,25.6307222675,
2016-01-13,482477.346614,17634.0,86530000.0,1.14,1005910.0,26535.3125,60.3126094436,
2016-01-14,372400.046082,10617.0,85539300.0,1.12,751961.0,26919.21875,26.776176405,
2016-01-15,1115559.38705,9827.0,90321700.0,1.18,3910550.0,26797.34375,23.1601242178,
2016-01-16,696879.897529,10622.0,93099400.0,1.22,2462630.0,26523.125,22.6502570573,
2016-01-17,452570.185605,9707.0,93207300.0,1.22,1171150.0,26599.84375,17.0397021972,
2016-01-18,3013698.20084,12883.0,101699000.0,1.33,4278930.0,26620.15625,30.9188099799,
2016-01-19,1761829.18688,13383.0,108628000.0,1.42,2446740.0,26092.8125,35.576958228,
2016-01-20,816295.262532,10549.0,104124000.0,1.36,2933220.0,26542.5,19.0134918696,
2016-01-21,757377.67436,10636.0,117111000.0,1.53,1614960.0,25919.21875,20.2959758345,
2016-01-22,1424488.2325,13752.0,118244000.0,1.55,1567240.0,26255.0,31.1813250746,
2016-01-23,1715780.58763,10946.0,115002000.0,1.5,7370980.0,25769.6875,17.4328034106,
2016-01-24,3649253.11376,12715.0,145358000.0,1.9,9669770.0,27239.21875,23.7308825767,
2016-01-25,4599895.08774,17048.0,164313000.0,2.15,10739300.0,25700.78125,40.1912428608,
2016-01-26,3656139.96786,16451.0,193838000.0,2.53,13939200.0,26985.46875,37.8980575476,
2016-01-27,2737151.84394,18660.0,172061000.0,2.25,6961080.0,26104.53125,56.8601467197,
2016-01-28,2221830.04699,16692.0,184294000.0,2.41,4903850.0,26560.9375,41.3560110411,
2016-01-29,2193242.6783,16323.0,194815000.0,2.54,6662340.0,26164.21875,37.4103434275,
2016-01-30,2484925.85452,14594.0,192176000.0,2.51,3725080.0,26193.125,35.4292821681,
2016-01-31,2672115.68922,14092.0,187289000.0,2.44,5847500.0,25681.875,33.8837693668,
2016-02-01,1391891.83115,14122.0,177881000.0,2.32,3994100.0,26431.25,32.5392274162,
2016-02-02,1374775.08365,14242.0,169923000.0,2.22,3451270.0,25864.6875,29.4629278384,
2016-02-03,1507493.46534,14218.0,186609000.0,2.43,3987750.0,27301.71875,27.7291754773,
2016-02-04,834721.46983,14273.0,194126000.0,2.53,3552320.0,26562.34375,32.7175018566,
2016-02-05,1481566.12417,15140.0,197363000.0,2.57,2636700.0,26558.59375,38.9743714932,
2016-02-06,592095.109826,31337.0,194621000.0,2.53,1921240.0,26345.78125,240.782836139,
2016-02-07,2274794.97332,14219.0,194884000.0,2.54,7007060.0,26684.6875,53.1207339074,
2016-02-08,4375792.90755,14598.0,228504000.0,2.97,9725690.0,26651.875,37.8124273589,
2016-02-09,4966029.42603,15453.0,244110000.0,3.17,17954000.0,26474.21875,50.1669254837,
2016-02-10,7746949.51446,17079.0,307684000.0,4.0,28640400.0,26161.25,58.8842443713,
2016-02-11,8085998.40217,21064.0,345964000.0,4.5,26408200.0,26477.8125,46.5235472664,
2016-02-12,12510236.4474,18001.0,457618000.0,5.95,23360800.0,26498.90625,33.065545419,
2016-02-13,7352170.22984,19247.0,437667000.0,5.69,24218800.0,26884.6875,36.1185857096,
2016-02-14,4965400.47055,16571.0,416193000.0,5.4,11226500.0,26329.0625,27.7730442997,
2016-02-15,3903432.19386,17096.0,410643000.0,5.33,13934200.0,26225.3125,30.7253429587,
2016-02-16,6928102.16575,17458.0,410605000.0,5.33,15889100.0,26445.78125,33.2945208106,
