date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees
2013-09-09,991088.40532,2711.0,57564700.0,2.73,0.0,23450.0,29.33560599,
2013-09-10,819991.143608,2682.0,57610700.0,2.73,0.0,23100.0,29.98605638,
2013-09-11,642871.9973,2434.0,55825700.0,2.64,0.0,24100.0,27.08675788,
2013-09-12,783665.034369,2733.0,58116300.0,2.75,0.0,28200.0,30.5963935,
2013-09-13,639243.877082,2662.0,56941900.0,2.69,0.0,27450.0,150.4627199,
2013-09-14,923927.117527,2726.0,56435100.0,2.66,0.0,33100.0,35.01397511,
2013-09-15,1020098.9569,2856.0,54890100.0,2.59,0.0,33050.0,29.52797126,
2013-09-16,760840.358686,2821.0,56288200.0,2.65,0.0,29400.0,29.51292714,
2013-09-17,694497.788707,2598.0,56009200.0,2.63,0.0,31000.0,24.51454937,
2013-09-18,1054901.3168,2753.0,55497300.0,2.6,0.0,30100.0,27.99413291,
2013-09-19,489362.863348,2668.0,54423900.0,2.55,0.0,31300.0,28.38354067,
2013-09-20,900721.171348,2504.0,55805000.0,2.61,0.0,27000.0,32.38663932,
2013-09-21,435789.7731,2333.0,53085600.0,2.48,0.0,27050.0,23.8262236,
2013-09-22,537471.974849,2456.0,54142400.0,2.53,0.0,27100.0,33.51585576,
2013-09-23,1395016.93991,3439.0,54240500.0,2.53,0.0,31750.0,56.10025213,
2013-09-24,1532422.67881,3057.0,53139300.0,2.47,0.0,28700.0,40.31229986,
2013-09-25,1388578.40701,2862.0,53168400.0,2.47,0.0,32500.0,38.09572492,
2013-09-26,876025.808966,2985.0,51028000.0,2.37,0.0,29800.0,37.90271155,
2013-09-27,942629.526755,2645.0,51857200.0,2.4,0.0,27200.0,29.24604993,
2013-09-28,1724895.81935,3343.0,51699800.0,2.39,0.0,26850.0,48.6546488,
2013-09-29,878088.598501,2933.0,49047900.0,2.27,0.0,25300.0,49.40881365,
2013-09-30,875219.139071,2786.0,49805700.0,2.3,0.0,27350.0,30.21548568,
2013-10-01,564144.412508,2758.0,50834400.0,2.34,0.0,27600.0,34.96010317,
2013-10-02,1270953.9127,3375.0,52580700.0,2.42,0.0,29350.0,55.08578786,
2013-10-03,1403347.19111,3663.0,43020500.0,1.98,0.0,29050.0,104.44685753,
2013-10-04,741894.384604,3302.0,47418000.0,2.18,0.0,29900.0,71.76873157,
2013-10-05,579206.022308,3340.0,47805900.0,2.19,0.0,25800.0,119.85076965,
2013-10-06,638065.843441,4316.0,46586200.0,2.13,0.0,29700.0,154.07706344,
2013-10-07,629267.513707,2727.0,47545900.0,2.17,0.0,28450.0,34.36458091,
2013-10-08,664319.471686,3220.0,45870300.0,2.1,0.0,29150.0,43.22051903,
2013-10-09,891254.002877,3094.0,43429000.0,1.98,0.0,27100.0,43.18186655,
2013-10-10,1340817.7469,3528.0,42394000.0,1.93,0.0,27050.0,53.51045025,
2013-10-11,1021374.78618,3575.0,44514200.0,2.03,0.0,28100.0,60.10790748,
